Stage Index,Pt,Pd,Rh
0,0.00154143585092054,0.00154143585092054,0.000342541300204565
1,0.0018800016056457465,0.0006472838411935731,0.0003431819929818465
2,0.0020328432698213813,0.0002404726485252995,0.0003434809004470444
3,0.0020875400504529744,8.47832937655191e-05,0.0003436188413895649
4,0.0020952996791789896,2.9210214990445914e-05,0.00034374104037190124
5,0.0020624576691557943,9.868983221800573e-06,0.00034400400171092076
6,0.0019497635932293291,3.2027684606005256e-06,0.00034472335138415936
7,0.0016631989816683517,9.383327934867398e-07,0.0003465075398197807
8,0.0011413705537535249,2.2150227197332235e-07,0.00034974606414706907
9,0.0005762448844500967,3.865091420437693e-08,0.0003532511398767113
10,0.00022338661484454198,5.253610051891308e-09,0.00035542514929331586
11,7.226066197239074e-05,6.213579526798496e-10,0.0003558253102030985
12,1.777159679406478e-05,6.24203898341351e-11,0.00033766156247608194
