Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],Pt Recovery [%],PPM Mass Total [mg/L],Pt Relative Purity [%],Pd Relative Purity Org [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M]
2,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0015141687767945033,7.453182775953592e-05,5.161265755965713e-06,0.003630247318409344,0.04269042487772395,3.3482096552339598e-06,-6.144715812561596e-17,1.0514592668764422e-15,-5.770411953169921e-20,0.3449486407044199,91.78133453172859,500,95,92.15613088796039,0.923569175185849,0.1,26.774106814853006
3,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0015863306620916531,7.826342618964524e-05,5.22766128944377e-06,0.002479544994989386,0.06218732158906003,2.293162333639579e-06,-1.2807138162485021e-18,2.190088388420719e-17,-1.8330322374175093e-21,0.23624654936767114,96.15542692908939,500,95,96.16225389806178,0.923569175185849,0.1,39.09344613319603
4,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016048440700484183,7.922110654189069e-05,5.244370833361864e-06,0.001987409834698271,0.07034847083658413,1.8562621530180189e-06,-9.492820212623349e-15,-1.2241314732708286e-13,-3.0375660279723278e-18,0.2087137804975812,97.27761708057263,500,95,97.25002995506787,0.923569175185849,0.1,44.250512495342974
5,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.001610445853040871,7.951088519463382e-05,5.249422890224999e-06,0.001811814579276801,0.07325846299483375,1.7005535458131258e-06,-4.4486170389795854e-17,1.8865117801247777e-16,-3.495996140894116e-20,0.20038666377731046,97.61716913493007,500,95,97.58429819214459,0.923569175185849,0.1,46.089353342007364
6,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016121274004545075,7.959787138301337e-05,5.250939369900521e-06,0.0017562199805992525,0.07417976148211274,1.6512575259529906e-06,-2.1074179727686992e-18,-1.481020167615199e-16,-6.948317145445432e-22,0.19788706949278576,97.71909612488469,500,95,97.68511188042773,0.923569175185849,0.1,46.67152722778175
7,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016126162188854288,7.962315763290684e-05,5.251380203167917e-06,0.0017397944191901832,0.07445196106952975,1.6366929276255817e-06,-4.221612209115433e-18,-1.6612145686822899e-15,-4.572654426193137e-21,0.197160449080262,97.74872585217878,500,95,97.71445913844316,0.923569175185849,0.1,46.84353172729249
8,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016127555078063207,7.96303630132119e-05,5.251505818699797e-06,0.0017350917625168349,0.07452989211259123,1.6325230672253143e-06,5.034885811223966e-15,-1.1717319822746042e-12,2.4100734327345014e-20,0.19695339854012803,97.75716884957832,500,95,97.7228250477025,0.923569175185849,0.1,46.89277677011892
9,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016127948493185643,7.963239810727153e-05,5.251541298221085e-06,0.0017337617290849314,0.07455193303501698,1.6313437224439424e-06,3.714070067120656e-17,-4.836409051023338e-15,-1.138200522872966e-21,0.19689491794047623,97.75955353519036,500,95,97.72518823067075,0.923569175185849,0.1,46.90670459382072
10,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016128059237695777,7.96329710173042e-05,5.251551285546393e-06,0.0017333871873396424,0.07455813983070313,1.631011615101873e-06,6.163377642455503e-15,-6.384005737242182e-13,5.82202802339323e-20,0.1968784560033235,97.76022481299557,500,95,97.72585347918056,0.923569175185849,0.1,46.91062668483434
11,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016128090375024757,7.963313209070864e-05,5.251554093613841e-06,0.0017332818692750484,0.07455988513060813,1.6309182292501014e-06,1.992539976330282e-15,-1.9835370325405055e-13,1.4273828650215046e-20,0.19687382745575083,97.76041355190311,500,95,97.72604052327868,0.923569175185849,0.1,46.9117295641255
12,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016128099126158106,7.963317736011715e-05,5.251554882819644e-06,0.0017332522688322217,0.07456037566041361,1.6308919824466276e-06,3.893844339845909e-16,-3.798502311302965e-14,-3.672681919735443e-21,0.19687252660154486,97.76046659689452,500,95,97.726093091997,0.923569175185849,0.1,46.91203953790278
13,0.0016497567664709198,0.0016689986450081995,5.286319774700517e-06,0,0,0,0.0016128101585331524,7.963319008135883e-05,5.251555104595984e-06,0.0017332439506741366,0.07456051350647684,1.6308846067102225e-06,-2.0328790734103208e-20,-1.235990476633475e-17,8.602678370551488e-22,0.19687216104649888,97.76048150317324,500,95,97.72610786446275,0.923569175185849,0.1,46.91212664484913
