Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],Pt Recovery [%],PPM Mass Total [mg/L],Pt Relative Purity [%],Pd Relative Purity Org [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M]
2,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0015141721344104592,7.453426752362245e-05,5.15900270850884e-06,0.0036302229173182177,0.042690947456131015,3.3467156681275684e-06,-6.160978845148879e-17,1.0514592668764422e-15,-5.851144780955097e-20,0.34494392191802575,91.78150099880818,500,95,92.15627088784062,0.923568667070266,0.1,26.77445835064598
3,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0015863321275680915,7.826579731129077e-05,5.22536729813655e-06,0.0024795291328510243,0.06218765487451098,2.2921407009537717e-06,-1.4365678785432934e-18,2.211772431870429e-17,-1.4823076576950256e-21,0.2362449530481466,96.15547693824115,500,95,96.16229878239656,0.923568667070266,0.1,39.09368878166227
4,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0016048450405103838,7.92234593997844e-05,5.242069052397336e-06,0.001987402876808645,0.07034864250746692,1.8554404227493929e-06,-9.490414639053146e-15,-1.2238430754929475e-13,-3.0332911585666538e-18,0.20871298175630149,97.27763663137632,500,95,97.25004694005138,0.923568667070266,0.1,44.25065749617089
5,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0016104466473708821,7.951323116127378e-05,5.24711873038858e-06,0.0018118123574872634,0.07325855123548208,1.6998044386804078e-06,-4.463524818851261e-17,1.8886801844697487e-16,-3.601875259300904e-20,0.20038614537480146,97.61717787241358,500,95,97.58430489338522,0.923568667070266,0.1,46.089447219159126
6,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0016121281334770708,7.960021484447527e-05,5.2486344883921125e-06,0.0017562196314841656,0.07417981712465682,1.650531741437161e-06,-2.2429432443293873e-18,-1.478851763270228e-16,-1.9256764660234484e-21,0.19788664778065693,97.71910110506818,500,95,97.68511495937261,0.923568667070266,0.1,46.671601011402004
7,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0016126169320789673,7.962550026251388e-05,5.249075110063586e-06,0.0017397947007594067,0.07445200579828141,1.63597410241797e-06,-4.330032426363983e-18,-1.6583956430338276e-15,-3.9307622708519875e-21,0.19716005845924578,97.74872961846415,500,95,97.71446104091176,0.923568667070266,0.1,46.843598763751295
8,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0016127562148832394,7.963270538160478e-05,5.2492006648807876e-06,0.0017350922413201485,0.07452993344048739,1.6318062492487445e-06,5.0300882166107175e-15,-1.170432023869794e-12,2.5179377846114162e-20,0.19695301747161556,97.75717224169628,500,95,97.72282658664912,0.923568667070266,0.1,46.89284170034961
9,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0016127955545512623,7.963474039585731e-05,5.2492361271483866e-06,0.0017337622676922501,0.07455197333442715,1.63062747572834e-06,3.698484660891177e-17,-4.8283859549469454e-15,-6.418921553411495e-22,0.19689453974351204,97.75955681455815,500,95,97.72518965991678,0.923568667070266,0.1,46.90676888619502
10,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0016128066284521218,7.963531328181707e-05,5.249246109588896e-06,0.0017333877438447222,0.07455817982297584,1.6302955301918557e-06,6.157583937096284e-15,-6.377882163371984e-13,5.84386559156463e-20,0.19687807866070722,97.7602280587448,500,95,97.7258548756794,0.923568667070266,0.1,46.91069078655079
11,0.0016497574325245795,0.0016689996679835914,5.2839992863778045e-06,0,0,0,0.0016128097420217773,7.963547434801049e-05,5.249248916275208e-06,0.0017332824311022139,0.07455992503172089,1.6302021900949604e-06,1.991123737242473e-15,-1.9817437621472145e-13,1.4366472878820985e-20,0.19687345036611767,97.76041678768121,500,95,97.72604191005718,0.923568667070266,0.1,46.91179360918104
