Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Q_org [L/time],Rh Recovery [%],PPM Mass Total [mg/L],Rh Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M],Max Sales Rh [$Rh/L feed basis]
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,2.9428880720929493e-06,1.256681779126251e-07,0.000303787068749104,0.05046366416181406,0.05055607099339635,0.0012711663740061407,0.3048714334173358,88.68626018751091,500,99,1,0.1,32.80071172267258,5.156665841040684
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.2232133292579278e-06,4.9824111163125214e-08,0.000324030712917777,0.08165023068031559,0.08181867811141523,0.0009825648841121624,0.18839048276717782,94.59610059407896,500,99,1,0.1,53.08123772026471,5.500293727548892
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.329365816082184e-06,1.8468032175409453e-08,0.0003314355509764554,0.10547712160886759,0.10570416963592494,0.0007615873629265284,0.14582370675695927,96.75783643564209,500,99,1,0.1,68.57595532574652,5.625987937091304
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.375377598115766e-06,6.6309567910777894e-09,0.00033481884673384945,0.12170597450911912,0.121972541883182,0.0006110739737197785,0.12637510027981208,97.74554091255436,500,99,1,0.1,79.129511888486,5.6834180500126035
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.3960540786099485e-06,2.330033168487766e-09,0.0003364400270659969,0.13139361526911122,0.13168353868319485,0.0005212273031340366,0.11705590060008288,98.21882116552803,500,99,1,0.1,85.42926882570941,5.710936947625247
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.4049431265250645e-06,8.0701610632572e-10,0.0003371692640481163,0.13627298898495951,0.13657460358523896,0.00047597445556023124,0.11286395926710562,98.43171140144524,500,99,1,0.1,88.60224348796628,5.723315458176084
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.408427260614894e-06,2.76833825456297e-10,0.0003374616733345973,0.1383328710556386,0.13863940618594447,0.00045687050698888225,0.11118307687333183,98.51707608193965,500,99,1,0.1,89.94174546359025,5.72827899064443
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.4096789665234823e-06,9.454636257036415e-11,0.00033756757763044965,0.13909436464471409,0.1394027169909178,0.00044980819831356175,0.11057429795107604,98.54799331609189,500,99,1,0.1,90.43692960568949,5.73007667435457
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.4101057112119093e-06,3.225477812672417e-11,0.0003376036790182317,0.1393558677718368,0.1396648442289751,0.0004473829435517696,0.11036677319734875,98.55853259639487,500,99,1,0.1,90.60697989347595,5.730689481193111
12,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.410247834405738e-06,1.0997961362907344e-11,0.0003376156428991265,0.1394427460878527,0.13975193001091687,0.0004465772088448549,0.11029800016396613,98.56202527914222,500,99,1,0.1,90.66347517755771,5.730892563359151
