Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Q_org [L/time],Rh Recovery [%],PPM Mass Total [mg/L],Rh Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M]
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6300322700897305e-05,7.446845199782127e-07,0.00032385513719619907,0.004648362764806019,0.0006240054634694966,0.0016204345701664245,0.18893251279295967,94.54484379045468,500,95,1,0.1,52.92895252474849
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.720893279507947e-05,2.87655969673507e-07,0.0003324351865303045,0.004851051130042151,0.00023826900955626316,0.0016442422246887606,0.1395783348645048,97.04966564083635,500,95,1,0.1,71.64435662388054
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7558350721664452e-05,1.0504939194982835e-07,0.000335604601661474,0.004928649137911023,8.664629172515744e-05,0.0016529091657034778,0.12135123815242477,97.97493074880339,500,95,1,0.1,82.40542208097928
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7693868495337393e-05,3.716961560692776e-08,0.0003368897228240965,0.0049581859617118165,3.060556073249173e-05,0.001656397920977885,0.11396073088318111,98.3501033664863,500,95,1,0.1,87.74952496795412
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7744443349666575e-05,1.2925320074431491e-08,0.0003373900021081605,0.004969041400891709,1.0635644108821435e-05,0.0016577511666478085,0.11108375162265918,98.4961526994471,500,95,1,0.1,90.02216664385838
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7762412567418868e-05,4.4582380411019775e-09,0.0003375705453035183,0.004972875684746377,3.6675931875760826e-06,0.0016582388760440678,0.11004549860783785,98.54885968550978,500,95,1,0.1,90.87150430056538
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7768575762375765e-05,1.5327543425315112e-09,0.00033763206181555895,0.004974193159819046,1.2608250753233716e-06,0.0016584050302452735,0.10969173375897882,98.56681854536228,500,95,1,0.1,91.16457236397223
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7770652443725607e-05,5.264828204440296e-10,0.00033765238939119575,0.004974639775176589,4.3306663356414254e-07,0.0016584599574514228,0.1095748346526097,98.57275288835235,500,95,1,0.1,91.26183061743578
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7771354703719704e-05,1.8355839170293983e-10,0.00033765901577639216,0.004974792423510176,1.509874768244299e-07,0.0016584778561964297,0.10953672773063905,98.5746873660905,500,95,1,0.1,91.29357985379046
12,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.777157797903211e-05,6.30515891238581e-11,0.00033766116402684593,0.004974840769380553,5.186345976024455e-08,0.0016584836883986017,0.10952437341674433,98.57531451687566,500,95,1,0.1,91.30387774006819
