Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],PGM Recovery [%],PPM Mass Total Feed [mg/L],PGM Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M],Ligand,q_max_Pt,q_max_Pd,q_max_Rh,K_eq_Pt,K_eq_Pd,K_eq_Rh
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.644548852626958e-05,9.337719279061492e-07,0.0003302059486293362,0.09132550687644829,0.0922544408656722,0.0007387143308488502,-4.336808689942018e-19,2.6237692574149207e-17,-2.541098841762901e-20,0.16698405676054914,96.39887173667444,500.0,95,1,0.1,59.88595674340181,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7304841324848265e-05,3.83438373943647e-07,0.0003360773139114201,0.120324434815462,0.1216603162027973,0.0005103075080036728,-5.516420653606247e-16,-1.075636975322869e-14,-4.503674180551115e-18,0.126668453663112,98.11293228311875,500.0,95,1,0.1,78.94625465781753,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7643999325128718e-05,1.4913944726305834e-07,0.00033806963666716786,0.13486183403990726,0.13641020099544166,0.0003957605792585774,-1.9714048102303927e-14,-4.701994002487275e-13,-1.3717698580783394e-17,0.1129891093698327,98.69456222221163,500.0,95,1,0.1,88.5041050042114,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7773280054158484e-05,5.636100005405893e-08,0.00033876318002999537,0.14078394061512473,0.14242095508780922,0.0003490921523333507,4.336808689942018e-19,8.673617379884035e-19,1.8634724839594607e-20,0.10822701539742922,98.8970322199647,500.0,95,1,0.1,92.39837173073826,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7820325692659974e-05,2.1021054291888286e-08,0.0003389855878808724,0.14279462158529702,0.144462788474012,0.0003332445668352178,1.0842021724855044e-18,4.336808689942018e-19,-8.978549240895584e-20,0.10669978380927794,98.96196098935519,500.0,95,1,0.1,93.7209021704734,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7837027482473906e-05,7.801400755323416e-09,0.0003390517486345946,0.14340371941717447,0.1450818365788061,0.0003284425444075571,-1.7046260236686095e-14,-7.518291544883482e-15,-3.985290016831483e-19,0.10624541885296783,98.98127566868953,500.0,95,1,0.1,94.12170527407793,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7842934333054728e-05,2.890447844858071e-09,0.0003390706708371092,0.14357880554119878,0.14525999751983038,0.0003270616538142241,-5.170256583975075e-14,-3.9950898492180364e-14,-2.608861477543245e-19,0.10611544725534093,98.98679973323395,500.0,95,1,0.1,94.23698677853602,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7845033606209235e-05,1.0703445880296025e-09,0.00033907599762099914,0.14362814153243078,0.14531028299231688,0.0003266723350318587,-6.635317295611287e-17,-6.100588784141436e-15,2.202285662861181e-20,0.10607885063877823,98.98835481108495,500.0,95,1,0.1,94.269498017585,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7845787264300628e-05,3.9630018550611885e-10,0.00033907748879948566,0.14364194742701733,0.14532438602763484,0.00032656331096796957,-3.866264947083309e-16,-1.6698990280838988e-13,1.9481757786848908e-20,0.10606860258774675,98.98879013917112,500.0,95,1,0.1,94.27860607221027,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
12,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.784605878697093e-05,1.4675050610280997e-10,0.0003390779054787284,0.143645801504384,0.14532833469652312,0.00032653284623425784,-3.8359072862537147e-16,-4.070437563397089e-13,-5.844527336054672e-20,0.10606573782022156,98.98891178267586,500.0,95,1,0.1,94.28115247686975,ddFc,0.2761270621604305,0.578896963662166,0.0037685520373639,1961.4350940847949,2548.496019908199,1778.0464295847555
