Stage Number,Min Recovery (%),Max Recovery (%),Low Quartile Recovery (%),Upper Quartile Recovery (%),Recovery at 95% Purity Rh (%),Min Organic Flow Rate (L/time),Max Organic Flow Rate (L/time),Low Quartile Organic Flow Rate (L/time),Upper Quartile Organic Flow Rate (L/time),Organic Flow Rate (L/time)
3,84.07988103768736,99.87561032101974,92.64694754367395,98.05641381149118,94.5453997184916,0.1213797141073805,0.3029454197511949,0.1489074927604015,0.2082843341649427,0.1889248240990746
4,90.64233441897905,99.93663743828016,95.9861293705981,99.00281474333363,97.04999841812226,0.1003638254339273,0.2122460249223173,0.11558762558840738,0.15142761919938935,0.1395737248014407
5,93.33868623280354,99.95395922743047,97.24434230922667,99.29891626128016,97.97516018429822,0.0952843599192146,0.1750204527375163,0.10549336845742388,0.12950164197754527,0.1213481762165347
6,94.69964360716531,99.95849945496612,97.77189724171299,99.38933570415206,98.35027488000291,0.0941843002325694,0.1562319631373087,0.1026943115641217,0.12000672234542555,0.1139586121710529
7,95.45007538393288,99.9595758873981,98.00253012783892,99.41445228016929,98.49629305065322,0.0939644162983541,0.1458721215080578,0.1015780100979378,0.11597207441365905,0.111082169753281
8,95.87428259877684,99.95981907937777,98.09636462122837,99.42101092767292,98.5489854711081,0.0939215897521362,0.1400158999458375,0.10130213900380183,0.11455065582918782,0.1100441758579318
9,96.11077831421385,99.959873141761,98.13085529666834,99.42268076649674,98.56693831889235,0.0939132709745925,0.1367510694363571,0.10124242714057485,0.11388107597264324,0.1096905199609708
10,96.23819969862954,99.95988510475028,98.13894111253884,99.42310258218848,98.57287035958892,0.0939116435206564,0.1349920146178695,0.10122706031200313,0.11357906528141318,0.1095736631058602
11,96.30259666727588,99.95988774876268,98.14159986988142,99.4232089790921,98.5748039883795,0.0939113198738289,0.1340802171186647,0.1012230993693629,0.11344855233497195,0.10953557168033
12,96.325102195224,99.95988833273113,98.14246931822483,99.42323583692567,98.57543083979948,0.0939112534830119,0.1336228525552208,0.10122207456556652,0.113399318803456,0.1095232230994143
